datetime,01428750,01447500,01447720,01449360
1945-01-01,,83.97120791228,,
1945-01-02,,142.10512108232,,
1945-01-03,,116.26782634008,,
1945-01-04,,116.26782634008,,
1945-01-05,,109.80850265452,,
1945-01-06,,87.20086975506,,
1945-01-07,,77.51188422672,,
1945-01-08,,83.97120791228,,
1945-01-09,,87.20086975506,,
1945-01-10,,67.82289869838,,
1945-01-11,,62.009507381376,,
1945-01-12,,56.842048432928,,
1945-01-13,,62.009507381376,,
1945-01-14,,67.82289869838,,
1945-01-15,,63.301372118488,,
1945-01-16,,58.13391317004,,
1945-01-17,,50.382724747368,,
1945-01-18,,52.320521853036,,
1945-01-19,,54.258318958704,,
1945-01-20,,50.382724747368,,
1945-01-21,,47.798995273144,,
1945-01-22,,49.090860010256,,
1945-01-23,,51.67458948448,,
1945-01-24,,52.966454221592,,
1945-01-25,,43.923401061808,,
1945-01-26,,41.339671587584,,
1945-01-27,,43.923401061808,,
1945-01-28,,45.21526579892,,
1945-01-29,,47.798995273144,,
1945-01-30,,47.153062904588,,
1945-01-31,,46.507130536032,,
1945-02-01,,44.569333430364,,
1945-02-02,,41.98560395614,,
1945-02-03,,41.98560395614,,
1945-02-04,,38.75594211336,,
1945-02-05,,38.75594211336,,
1945-02-06,,40.047806850472,,
1945-02-07,,38.75594211336,,
1945-02-08,,40.047806850472,,
1945-02-09,,40.047806850472,,
1945-02-10,,40.047806850472,,
1945-02-11,,42.631536324696,,
1945-02-12,,45.21526579892,,
1945-02-13,,48.4449276417,,
1945-02-14,,47.798995273144,,
1945-02-15,,46.507130536032,,
1945-02-16,,51.67458948448,,
1945-02-17,,55.550183695816,,
1945-02-18,,51.67458948448,,
1945-02-19,,59.425777907152,,
1945-02-20,,51.67458948448,,
1945-02-21,,52.966454221592,,
1945-02-22,,71.05256054116,,
1945-02-23,,109.80850265452,,
1945-02-24,,116.26782634008,,
1945-02-25,,106.57884081174,,
1945-02-26,,100.11951712618,,
1945-02-27,,229.951923205936,,
1945-02-28,,244.162435314168,,
1945-03-01,,213.803613992036,,
1945-03-02,,184.736657407016,,
1945-03-03,,285.50210690175203,,
1945-03-04,,416.62637771862,,
1945-03-05,,343.636020071792,,
1945-03-06,,343.636020071792,,
1945-03-07,,436.0043487753,,
1945-03-08,,361.72212639136,,
1945-03-09,,291.961430587312,,
1945-03-10,,259.664812159512,,
1945-03-11,,244.162435314168,,
1945-03-12,,244.162435314168,,
1945-03-13,,228.660058468824,,
1945-03-14,,228.660058468824,,
1945-03-15,,259.664812159512,,
1945-03-16,,397.24840666194,,
1945-03-17,,523.20521853036,,
1945-03-18,,500.5975856309,,
1945-03-19,,397.24840666194,,
1945-03-20,,416.62637771862,,
1945-03-21,,416.62637771862,,
1945-03-22,,397.24840666194,,
1945-03-23,,343.636020071792,,
1945-03-24,,291.961430587312,,
1945-03-25,,249.975826631172,,
1945-03-26,,198.947169515248,,
1945-03-27,,198.947169515248,,
1945-03-28,,190.55004872402,,
1945-03-29,,168.588348193116,,
1945-03-30,,155.669700821996,,
1945-03-31,,145.3347829251,,
1945-04-01,,135.64579739676,,
1945-04-02,,153.085971347772,,
1945-04-03,,228.660058468824,,
1945-04-04,,187.966319249796,,
1945-04-05,,402.415865610388,,
1945-04-06,,393.372812450604,,
1945-04-07,,275.813121373412,,
1945-04-08,,228.660058468824,,
1945-04-09,,198.947169515248,,
1945-04-10,,182.152927932792,,
1945-04-11,,160.837159770444,,
1945-04-12,,150.502241873548,,
1945-04-13,,142.75105345087601,,
1945-04-14,,135.64579739676,,
1945-04-15,,124.019014762752,,
1945-04-16,,119.49748818286,,
1945-04-17,,140.813256345208,,
1945-04-18,,193.133778198244,,
1945-04-19,,155.669700821996,,
1945-04-20,,135.64579739676,,
1945-04-21,,131.124270816868,,
1945-04-22,,135.64579739676,,
1945-04-23,,116.913758708636,,
1945-04-24,,108.516637917408,,
1945-04-25,,138.229526870984,,
1945-04-26,,228.660058468824,,
1945-04-27,,193.133778198244,,
1945-04-28,,163.420889244668,,
1945-04-29,,140.813256345208,,
1945-04-30,,128.540541342644,,
1945-05-01,,133.062067922536,,
1945-05-02,,182.152927932792,,
1945-05-03,,166.004618718892,,
1945-05-04,,190.55004872402,,
1945-05-05,,198.947169515248,,
1945-05-06,,168.588348193116,,
1945-05-07,,160.837159770444,,
1945-05-08,,150.502241873548,,
1945-05-09,,160.837159770444,,
1945-05-10,,193.133778198244,,
1945-05-11,,326.19584612078,,
1945-05-12,,228.660058468824,,
1945-05-13,,213.803613992036,,
1945-05-14,,228.660058468824,,
1945-05-15,,198.947169515248,,
1945-05-16,,244.162435314168,,
1945-05-17,,259.664812159512,,
1945-05-18,,326.19584612078,,
1945-05-19,,275.813121373412,,
1945-05-20,,213.803613992036,,
1945-05-21,,190.55004872402,,
1945-05-22,,176.985468984344,,
1945-05-23,,190.55004872402,,
1945-05-24,,158.25343029622,,
1945-05-25,,153.085971347772,,
1945-05-26,,140.813256345208,,
1945-05-27,,153.085971347772,,
1945-05-28,,155.669700821996,,
1945-05-29,,377.87043560526,,
1945-05-30,,275.813121373412,,
1945-05-31,,213.803613992036,,
1945-06-01,,184.736657407016,,
1945-06-02,,114.975961602968,,
1945-06-03,,319.090590066664,,
1945-06-04,,275.813121373412,,
1945-06-05,,244.162435314168,,
1945-06-06,,213.803613992036,,
1945-06-07,,193.133778198244,,
1945-06-08,,166.004618718892,,
1945-06-09,,147.918512399324,,
1945-06-10,,142.75105345087601,,
1945-06-11,,142.75105345087601,,
1945-06-12,,135.64579739676,,
1945-06-13,,125.95681186842,,
1945-06-14,,112.392232128744,,
1945-06-15,,101.41138186329201,,
1945-06-16,,263.540406370848,,
1945-06-17,,228.660058468824,,
1945-06-18,,166.004618718892,,
1945-06-19,,171.17207766734,,
1945-06-20,,228.660058468824,,
1945-06-21,,187.966319249796,,
1945-06-22,,187.966319249796,,
1945-06-23,,147.918512399324,,
1945-06-24,,125.95681186842,,
1945-06-25,,112.392232128744,,
1945-06-26,,131.124270816868,,
1945-06-27,,108.516637917408,,
1945-06-28,,95.597990546288,,
1945-06-29,,103.995111337516,,
1945-06-30,,87.20086975506,,
1945-07-01,,81.38747843805601,,
1945-07-02,,79.449681332388,,
1945-07-03,,91.722396334952,,
1945-07-04,,72.344425278272,,
1945-07-05,,72.344425278272,,
1945-07-06,,131.124270816868,,
1945-07-07,,97.535787651956,,
1945-07-08,,76.220019489608,,
1945-07-09,,76.220019489608,,
1945-07-10,,130.478338448312,,
1945-07-11,,121.43528528852801,,
1945-07-12,,87.20086975506,,
1945-07-13,,69.114763435492,,
1945-07-14,,60.717642644264004,,
1945-07-15,,549.0425132726,,
1945-07-16,,538.707595375704,,
1945-07-17,,361.72212639136,,
1945-07-18,,361.72212639136,,
1945-07-19,,1401.67323976652,,
1945-07-20,,1007.65449494736,,
1945-07-21,,538.707595375704,,
1945-07-22,,326.19584612078,,
1945-07-23,,291.961430587312,,
1945-07-24,,228.660058468824,,
1945-07-25,,187.966319249796,,
1945-07-26,,166.004618718892,,
1945-07-27,,150.502241873548,,
1945-07-28,,155.669700821996,,
1945-07-29,,570.358281434948,,
1945-07-30,,326.19584612078,,
1945-07-31,,244.162435314168,,
1945-08-01,,228.660058468824,,
1945-08-02,,184.736657407016,,
1945-08-03,,160.837159770444,,
1945-08-04,,140.813256345208,,
1945-08-05,,119.49748818286,,
1945-08-06,,150.502241873548,,
1945-08-07,,304.880077958432,,
1945-08-08,,228.660058468824,,
1945-08-09,,176.985468984344,,
1945-08-10,,155.669700821996,,
1945-08-11,,131.124270816868,,
1945-08-12,,116.913758708636,,
1945-08-13,,103.995111337516,,
1945-08-14,,97.535787651956,,
1945-08-15,,95.597990546288,,
1945-08-16,,87.20086975506,,
1945-08-17,,72.344425278272,,
1945-08-18,,69.114763435492,,
1945-08-19,,60.717642644264004,,
1945-08-20,,63.947304487044,,
1945-08-21,,58.779845538596,,
1945-08-22,,56.196116064372,,
1945-08-23,,47.153062904588,,
1945-08-24,,124.019014762752,,
1945-08-25,,259.664812159512,,
1945-08-26,,291.961430587312,,
1945-08-27,,182.152927932792,,
1945-08-28,,131.124270816868,,
1945-08-29,,101.41138186329201,,
1945-08-30,,87.20086975506,,
1945-08-31,,76.220019489608,,
1945-09-01,,65.239169224156,,
1945-09-02,,131.124270816868,,
1945-09-03,,95.597990546288,,
1945-09-04,,79.449681332388,,
1945-09-05,,72.344425278272,,
1945-09-06,,62.009507381376,,
1945-09-07,,58.779845538596,,
1945-09-08,,52.966454221592,,
1945-09-09,,52.966454221592,,
1945-09-10,,58.779845538596,,
1945-09-11,,95.597990546288,,
1945-09-12,,108.516637917408,,
1945-09-13,,87.20086975506,,
1945-09-14,,91.722396334952,,
1945-09-15,,108.516637917408,,
1945-09-16,,89.138666860728,,
1945-09-17,,93.66019344062,,
